title,description,content,source,author,url,publishedAt,language,translated_title,translated_content,translated_description
"17 'Harry Potter' stars, ranked from least to most successful","The first ""Harry Potter"" movie was released 24 years ago — here's how the stars' careers have progressed since.","Daniel Radcliffe, Emma Watson, and Rupert Grint starred in all eight ""Harry Potter"" films.Dave M. Benett/Getty Images
<ul><li>The first ""Harry Potter"" movie was released 24 years ago.</li><li>Ahead … [+16717 chars]",Business Insider,Gabbi Shaw,https://www.businessinsider.com/harry-potter-child-stars-ranked-success-2021-3,2025-04-24T16:14:51Z,en,"17 'Harry Potter' stars, ranked from least to most successful","Daniel Radcliffe, Emma Watson, and Rupert Grint starred in all eight ""Harry Potter"" films.Dave M. Benett/Getty Images
<ul><li>The first ""Harry Potter"" movie was released 24 years ago.</li><li>Ahead … [+16717 chars]","The first ""Harry Potter"" movie was released 24 years ago — here's how the stars' careers have progressed since."
"At this fintech, bad Karma means a lower bonus",Revolut uses a team-based points system to track compliance — and adjust employee bonuses based on department performance.,"Revolut CEO and founder Nikolay Storonsky.Storonsky
<ul><li>Fintech startup Revolut awards or docks ""Karma"" points based on how staff follow compliance rules.</li><li>These scores roll into team tot… [+2573 chars]",Business Insider,Effie Webb,https://www.businessinsider.com/revolut-karma-bonus-system-compliance-workplace-culture-2025-4,2025-04-24T12:47:34Z,en,"At this fintech, bad Karma means a lower bonus","Revolut CEO and founder Nikolay Storonsky.Storonsky
<ul><li>Fintech startup Revolut awards or docks ""Karma"" points based on how staff follow compliance rules.</li><li>These scores roll into team tot… [+2573 chars]",Revolut uses a team-based points system to track compliance — and adjust employee bonuses based on department performance.
How AI was used in this $1.5 billion M&A deal,"When Kraken, a crypto exchange, was embarking on a $1.5 billion acquisition, it used this AI startup to check under the hood.","When the crypto exchange Kraken was mulling paying $1.5 billion for a retail trading startup NinjaTrader, it was a given that Kraken would want to check under the hood.
Usually, a team of six Kraken… [+5461 chars]",Business Insider,bschan@businessinsider.com (Bianca Chan),https://www.businessinsider.com/how-ai-was-used-kraken-ninjatrader-acquisition-2025-4,2025-04-24T09:09:02Z,en,How AI was used in this $1.5 billion M&A deal,"When the crypto exchange Kraken was mulling paying $1.5 billion for a retail trading startup NinjaTrader, it was a given that Kraken would want to check under the hood.
Usually, a team of six Kraken… [+5461 chars]","When Kraken, a crypto exchange, was embarking on a $1.5 billion acquisition, it used this AI startup to check under the hood."
Palantir once bought $50 million worth of gold bars. It'd be worth nearly double today if they hadn't sold it all.,"Palantir sold its gold bars for a small profit in 2023, missing out on nearly doubling its investment as gold prices reach record highs this year.","The value of gold has reached record highs this year.Sven Hoppe/picture alliance via Getty Images
<ul><li>The price of gold has nearly doubled since Palantir bought a stockpile in 2021.</li><li>Gold… [+2571 chars]",Business Insider,Grace Eliza Goodwin,https://www.businessinsider.com/golds-value-doubled-since-palantir-bought-50-million-worth-2025-4,2025-04-23T18:01:17Z,en,Palantir once bought $50 million worth of gold bars. It'd be worth nearly double today if they hadn't sold it all.,"The value of gold has reached record highs this year.Sven Hoppe/picture alliance via Getty Images
<ul><li>The price of gold has nearly doubled since Palantir bought a stockpile in 2021.</li><li>Gold… [+2571 chars]","Palantir sold its gold bars for a small profit in 2023, missing out on nearly doubling its investment as gold prices reach record highs this year."
$Trump coin is surging again on plans for a dinner with the president and the token's top holders,The token's website said the top 25 holders of the $Trump coin would be invited to an exclusive reception with the president before the dinner.,"The $Trump token soared as much as 71% on Wednesday after the project's organizers said President Donald Trump will attend a dinner for the top 220 holders of the meme coin. 
The token, launched day… [+1394 chars]",Business Insider,mfox@businessinsider.com (Matthew Fox),https://www.businessinsider.com/trump-meme-coin-soars-s-president-host-dinner-top-holders-2025-4,2025-04-23T17:35:43Z,en,$Trump coin is surging again on plans for a dinner with the president and the token's top holders,"The $Trump token soared as much as 71% on Wednesday after the project's organizers said President Donald Trump will attend a dinner for the top 220 holders of the meme coin. 
The token, launched day… [+1394 chars]",The token's website said the top 25 holders of the $Trump coin would be invited to an exclusive reception with the president before the dinner.
Elon Musk is stepping back from DOGE to spend more time at Tesla,Musk made the announcement after Tesla delivered a dismal first-quarter earnings report.,"Elon Musk is calling for a free-trade zone between the US and Europe.BRENDAN SMIALOWSKI/AFP via Getty Images
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>Y… [+6293 chars]",Business Insider,Hallam Bullock,https://www.businessinsider.com/musk-step-back-doge-teslas-earning-revenue-fall-gerber-ceo-2025-4,2025-04-23T12:44:08Z,en,Elon Musk is stepping back from DOGE to spend more time at Tesla,"Elon Musk is calling for a free-trade zone between the US and Europe.BRENDAN SMIALOWSKI/AFP via Getty Images
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>Y… [+6293 chars]",Musk made the announcement after Tesla delivered a dismal first-quarter earnings report.
"Why a top bitcoin bull says the token is about to notch a fresh record of $120,000","Bitcoin is poised for fresh records in the second quarter thanks to tailwinds that have emerged amid policy uncertainty, Standard Chartered said.","Bitcoin's slump to start the year will give way to a fresh rally to record highs this quarter, according to Standard Chartered analyst Geoff Kendrick. 
Kendrick anticipates that the apex token will … [+2957 chars]",Business Insider,fdemott@businessinsider.com (Filip De Mott),https://www.businessinsider.com/bitcoin-price-prediction-record-high-q2-trump-crypto-whales-btc-2025-4,2025-04-28T15:39:13Z,en,"Why a top bitcoin bull says the token is about to notch a fresh record of $120,000","Bitcoin's slump to start the year will give way to a fresh rally to record highs this quarter, according to Standard Chartered analyst Geoff Kendrick. 
Kendrick anticipates that the apex token will … [+2957 chars]","Bitcoin is poised for fresh records in the second quarter thanks to tailwinds that have emerged amid policy uncertainty, Standard Chartered said."
David Sacks compares Elon Musk's time at DOGE to the Twitter acquisition,David Sacks compared Elon Musk's decision to reduce his time at DOGE to the billionaire's approach to managing Twitter during the acquisition.,"White House crypto czar David Sacks said Elon Musk focuses intensely on one venture before he goes into ""maintenance mode.""Kayla Bartkowski; Taylor Hill/Getty Images
<ul><li>Elon Musk said he will s… [+2942 chars]",Business Insider,Lloyd Lee,https://www.businessinsider.com/elon-musk-doge-maintenance-mode-david-sacks-all-in-podcast-2025-4,2025-04-27T00:44:53Z,en,David Sacks compares Elon Musk's time at DOGE to the Twitter acquisition,"White House crypto czar David Sacks said Elon Musk focuses intensely on one venture before he goes into ""maintenance mode.""Kayla Bartkowski; Taylor Hill/Getty Images
<ul><li>Elon Musk said he will s… [+2942 chars]",David Sacks compared Elon Musk's decision to reduce his time at DOGE to the billionaire's approach to managing Twitter during the acquisition.
The FTC says company that pitched financial freedom scammed people out of $1 billion,"The financial training platform said it could help subscribers make money. Some got soaked instead, the feds say.","The FTC says IYOVIA, a financial training platform, was really a multi-level marketing scheme.Getty Images; Jenny Chang-Rodriguez/BI
<ul><li>The Federal Trade Commission filed a federal complaint ac… [+5513 chars]",Business Insider,Nicole Einbinder,https://www.businessinsider.com/iyovia-ftc-mlm-scam,2025-05-02T20:22:05Z,en,The FTC says company that pitched financial freedom scammed people out of $1 billion,"The FTC says IYOVIA, a financial training platform, was really a multi-level marketing scheme.Getty Images; Jenny Chang-Rodriguez/BI
<ul><li>The Federal Trade Commission filed a federal complaint ac… [+5513 chars]","The financial training platform said it could help subscribers make money. Some got soaked instead, the feds say."
I uploaded my biometrics at the keynote for Sam Altman's buzzy crypto company. Here are 3 takeaways.,"World, a crypto and biometric security startup led by Sam Altman and Alex Blania, unveiled its vision for an 'everything app.' Here's what BI saw.","Business Insider's Lloyd Lee attended a keynote for World, a crypto and biometric security startup, that launched a digital currency in the US.Lloyd Lee/Business Insider
<ul><li>World, a crypto and … [+7550 chars]",Business Insider,Lloyd Lee,https://www.businessinsider.com/sam-altman-world-worldcoin-keynote-takeaways-orb-biometrics-2025-5,2025-05-02T11:44:01Z,en,I uploaded my biometrics at the keynote for Sam Altman's buzzy crypto company. Here are 3 takeaways.,"Business Insider's Lloyd Lee attended a keynote for World, a crypto and biometric security startup, that launched a digital currency in the US.Lloyd Lee/Business Insider
<ul><li>World, a crypto and … [+7550 chars]","World, a crypto and biometric security startup led by Sam Altman and Alex Blania, unveiled its vision for an 'everything app.' Here's what BI saw."
I went to the 'Conclave of Silicon Valley.' It showed the hold tech has on DC.,Tech titans and DC policymakers sound the alarm on China's AI and defense tech surge at the high-powered Hill and Valley Forum.,"Delian Asparouhov moderating a discussion with Emil Michael, Ruth Porat, and Kevin Weil at the Hill and Valley Forum.Julia Hornstein/BI
<ul><li>I went to the fourth Hill and Valley Forum, a mashup o… [+6581 chars]",Business Insider,Julia Hornstein,https://www.businessinsider.com/silicon-valley-descended-on-dc-talk-ai-china-rebuilding-america,2025-05-02T09:00:02Z,en,I went to the 'Conclave of Silicon Valley.' It showed the hold tech has on DC.,"Delian Asparouhov moderating a discussion with Emil Michael, Ruth Porat, and Kevin Weil at the Hill and Valley Forum.Julia Hornstein/BI
<ul><li>I went to the fourth Hill and Valley Forum, a mashup o… [+6581 chars]",Tech titans and DC policymakers sound the alarm on China's AI and defense tech surge at the high-powered Hill and Valley Forum.
Traders are pouring into shares of a new bitcoin investment that's up almost 500% in a week,"The company's aim of holding of 42,000 bitcoins would make Twenty One Capital the third-largest bitcoin treasury in the world.","Move over Strategy. There's a new bitcoin investment vehicle on Wall Street that is luring investors.
Cantor Equity Partners, a SPAC that recently struck a deal to merge with crypto firm Twenty One … [+1905 chars]",Business Insider,mfox@businessinsider.com (Matthew Fox),https://www.businessinsider.com/cantor-equity-partners-cep-stock-price-bitcoin-trading-strategy-mstr-2025-5,2025-05-01T19:07:36Z,en,Traders are pouring into shares of a new bitcoin investment that's up almost 500% in a week,"Move over Strategy. There's a new bitcoin investment vehicle on Wall Street that is luring investors.
Cantor Equity Partners, a SPAC that recently struck a deal to merge with crypto firm Twenty One … [+1905 chars]","The company's aim of holding of 42,000 bitcoins would make Twenty One Capital the third-largest bitcoin treasury in the world."
"Is Trump responsible for the performance of stocks? He thinks so, but only if they're up.","Donald Trump has used the stock market as a scorecard in the past, but the president doesn't think he's to blame for the market's year-to-date loss.","Donald Trump has used the stock market as a scorecard in the past, so it might make sense to look at a chart of the S&amp;P 500 year-to-date and wonder if the president thinks his performance could b… [+3840 chars]",Business Insider,jsor@businessinsider.com (Jennifer Sor),https://www.businessinsider.com/trump-stock-market-biden-tariffs-selloff-sp500-correction-bear-market-2025-4,2025-05-01T08:00:03Z,en,"Is Trump responsible for the performance of stocks? He thinks so, but only if they're up.","Donald Trump has used the stock market as a scorecard in the past, so it might make sense to look at a chart of the S&amp;P 500 year-to-date and wonder if the president thinks his performance could b… [+3840 chars]","Donald Trump has used the stock market as a scorecard in the past, but the president doesn't think he's to blame for the market's year-to-date loss."
"Amazon is working on a secret project called 'Kiro,' a new tool that uses AI agents to streamline software coding",Amazon's AI coding assistant 'Kiro' is designed to use AI agents and a multi-modal interface to streamline software development.,"AI coding assistants are exploding in popularity. Amazon wants a piece of it.
According to an internal document obtained by Business Insider, Amazon Web Services is building a new AI coding tool, co… [+4311 chars]",Business Insider,ekim@businessinsider.com (Eugene Kim),https://www.businessinsider.com/amazon-kiro-project-ai-agents-software-coding-2025-5,2025-05-06T17:48:41Z,en,"Amazon is working on a secret project called 'Kiro,' a new tool that uses AI agents to streamline software coding","AI coding assistants are exploding in popularity. Amazon wants a piece of it.
According to an internal document obtained by Business Insider, Amazon Web Services is building a new AI coding tool, co… [+4311 chars]",Amazon's AI coding assistant 'Kiro' is designed to use AI agents and a multi-modal interface to streamline software development.
New Hampshire just became the first state to establish a crypto reserve,New Hampshire is the first state to approve purchases of digital assets by its state treasurer. Bills have surfaced in other states but have lost steam.,"Legislators in New Hampshire voted to pass a bill that establishes the first state crypto reserve.
""New Hampshire is once again First in the Nation!"" state governor Kelly Ayotte wrote on X. ""Just si… [+1949 chars]",Business Insider,fdemott@businessinsider.com (Filip De Mott),https://www.businessinsider.com/bitcoin-reserve-new-hampshire-crypto-cryptocurrency-trump-btc-2025-5,2025-05-06T17:41:11Z,en,New Hampshire just became the first state to establish a crypto reserve,"Legislators in New Hampshire voted to pass a bill that establishes the first state crypto reserve.
""New Hampshire is once again First in the Nation!"" state governor Kelly Ayotte wrote on X. ""Just si… [+1949 chars]",New Hampshire is the first state to approve purchases of digital assets by its state treasurer. Bills have surfaced in other states but have lost steam.
"5 details about Executive Branch, DC's new private club for young, MAGA-minded millionaires","DC has a new Trump-aligned private club for the ""younger, hipper"" Republican. Membership can cost $500,000.","Omeed Malik and Donald Trump Jr. are two of the Executive Branch owners.Ryan Emberley/amfAR/Getty Images for amfAR
<ul><li>There's a new, Trump-aligned private club in DC, where membership can reach… [+3457 chars]",Business Insider,Alice Tecotzky,https://www.businessinsider.com/executive-branch-private-club-details-trump-billionaires-2025-5,2025-05-06T16:12:38Z,en,"5 details about Executive Branch, DC's new private club for young, MAGA-minded millionaires","Omeed Malik and Donald Trump Jr. are two of the Executive Branch owners.Ryan Emberley/amfAR/Getty Images for amfAR
<ul><li>There's a new, Trump-aligned private club in DC, where membership can reach… [+3457 chars]","DC has a new Trump-aligned private club for the ""younger, hipper"" Republican. Membership can cost $500,000."
5 lessons everyday investors can take from Warren Buffett's legendary career,"Uncover five investment strategies inspired by Warren Buffett to elevate your portfolio, like the importance of cash reserves and discipline.","Warren Buffett's famous quote, ""be fearful when others are greedy and greedy when others are fearful,"" inspired 26-year-old Natalie Fisher to start investing in the stock market in 2020.
Fisher's st… [+5285 chars]",Business Insider,cji@businessinsider.com (Christine Ji),https://www.businessinsider.com/warren-buffett-career-lessons-berkshire-hathaway-succession-stocks-value-investing-2025-5,2025-05-05T18:42:31Z,en,5 lessons everyday investors can take from Warren Buffett's legendary career,"Warren Buffett's famous quote, ""be fearful when others are greedy and greedy when others are fearful,"" inspired 26-year-old Natalie Fisher to start investing in the stock market in 2020.
Fisher's st… [+5285 chars]","Uncover five investment strategies inspired by Warren Buffett to elevate your portfolio, like the importance of cash reserves and discipline."
"Bitcoin just hit $100,000 for the first time in 3 months","Bitcoin climbed past $100,000 for the first time since early February on Thursday, boosted by trade developments and rising risk appetite among investors.","Bitcoin reclaimed the six-figure mark on Thursday, crossing $100,000 for the first time in three months. 
The top crypto hit an intraday high of $101,370, the highest level since early February.
A … [+1955 chars]",Business Insider,fdemott@businessinsider.com (Filip De Mott),https://www.businessinsider.com/bitcoin-price-crypto-tariffs-cryptocurrency-fed-trade-deal-btc-2025-5,2025-05-08T17:26:44Z,en,"Bitcoin just hit $100,000 for the first time in 3 months","Bitcoin reclaimed the six-figure mark on Thursday, crossing $100,000 for the first time in three months. 
The top crypto hit an intraday high of $101,370, the highest level since early February.
A … [+1955 chars]","Bitcoin climbed past $100,000 for the first time since early February on Thursday, boosted by trade developments and rising risk appetite among investors."
This new Palantir-alumni-founded startup wants to help governments and companies control their data,"Data management startup Valarian, founded by a Palantir alumni, raises $20 million to expand its secure ACRA platform into the defense sector.","Josh McLaughlin (left) and Max Buchan (right), cofounders of Valarian. Valarian
<ul><li>Data management startup Valarian emerges from stealth and raises $7 million, bringing its seed round to $20 mi… [+4307 chars]",Business Insider,Julia Hornstein,https://www.businessinsider.com/valarian-launches-expand-data-management-platform-defense-2025-5,2025-05-08T09:00:01Z,en,This new Palantir-alumni-founded startup wants to help governments and companies control their data,"Josh McLaughlin (left) and Max Buchan (right), cofounders of Valarian. Valarian
<ul><li>Data management startup Valarian emerges from stealth and raises $7 million, bringing its seed round to $20 mi… [+4307 chars]","Data management startup Valarian, founded by a Palantir alumni, raises $20 million to expand its secure ACRA platform into the defense sector."
"After selling OnlyFans, its cofounder is launching a rival creator platform","OnlyFans cofounder Tim Stokely is launching another subscription platform called Subs, which mixes free and paid content.","OnlyFans cofounder Tim Stokely is unveiling his next act.
Stokely is launching a rival subscription platform called Subs that will house both safe-for-work and adult content under one roof.
So, how… [+3127 chars]",Business Insider,insider@insider.com (Geoff Weiss),https://www.businessinsider.com/onlyfans-cofounder-tim-stokely-launches-rival-creator-platform-subs-2025-5,2025-05-08T07:00:01Z,en,"After selling OnlyFans, its cofounder is launching a rival creator platform","OnlyFans cofounder Tim Stokely is unveiling his next act.
Stokely is launching a rival subscription platform called Subs that will house both safe-for-work and adult content under one roof.
So, how… [+3127 chars]","OnlyFans cofounder Tim Stokely is launching another subscription platform called Subs, which mixes free and paid content."
Trump's crypto dealings are jeopardizing a bipartisan stablecoin bill,"Elizabeth Warren slammed Trump's crypto dealings and said a bipartisan stablecoin bill moving through Congress needs ""substantive reforms.""","President Donald Trump's crypto ventures are getting in the way of his own agenda.
The fate of a bipartisan stablecoin bill has fallen into doubt as congressional Democrats show frustration with the… [+2331 chars]",Business Insider,fdemott@businessinsider.com (Filip De Mott),https://www.businessinsider.com/trump-crypto-memecoin-stablecoin-bill-democrats-genius-act-2025-5,2025-05-07T18:31:50Z,en,Trump's crypto dealings are jeopardizing a bipartisan stablecoin bill,"President Donald Trump's crypto ventures are getting in the way of his own agenda.
The fate of a bipartisan stablecoin bill has fallen into doubt as congressional Democrats show frustration with the… [+2331 chars]","Elizabeth Warren slammed Trump's crypto dealings and said a bipartisan stablecoin bill moving through Congress needs ""substantive reforms."""
Meet the 10 AI startup unicorns with tiny teams,These AI startups are hitting billion-dollar valuations with 50 employees or fewer as founders use new tech to maintain lean teams.,"Ilya Sutskever, cofounder and chief scientist at Safe Superintelligence and cofounder and former chief scientist at OpenAI.JACK GUEZ/AFP via Getty Images
<ul><li>Artificial intelligence is helping s… [+8162 chars]",Business Insider,Rebecca Torrence,https://www.businessinsider.com/ai-startup-unicorns-with-tiny-teams-2025-5,2025-05-07T09:00:02Z,en,Meet the 10 AI startup unicorns with tiny teams,"Ilya Sutskever, cofounder and chief scientist at Safe Superintelligence and cofounder and former chief scientist at OpenAI.JACK GUEZ/AFP via Getty Images
<ul><li>Artificial intelligence is helping s… [+8162 chars]",These AI startups are hitting billion-dollar valuations with 50 employees or fewer as founders use new tech to maintain lean teams.
Trump's first trade deal has Wall Street cheering. Not everyone is convinced.,"Trump's signal that he wants to resolve trade disputes has Wall Street excited, but there's no guarantee others will be willing to come to the table.","Trump is addressing Congress for the first time in more than five years — the last time was his final State of the Union.Mario Tama/Getty Images
<ul><li>This post originally appeared in the Business… [+7049 chars]",Business Insider,Dan DeFrancesco,https://www.businessinsider.com/investors-are-loving-trumps-first-trade-deal-2025-5,2025-05-09T12:20:45Z,en,Trump's first trade deal has Wall Street cheering. Not everyone is convinced.,"Trump is addressing Congress for the first time in more than five years — the last time was his final State of the Union.Mario Tama/Getty Images
<ul><li>This post originally appeared in the Business… [+7049 chars]","Trump's signal that he wants to resolve trade disputes has Wall Street excited, but there's no guarantee others will be willing to come to the table."
Trump is headed to Saudi Arabia — and a 'who's who' of US CEOs are right behind him,"Executives from Google, Nvidia, and BlackRock are slated to speak at the Saudi-US Investment Forum as Trump courts Saudi investments.","As President Donald Trump embarks on the first international trip of his second term, a small crowd of Wall Street and Silicon Valley executives are also jetting off to Saudi Arabia.
On Tuesday, exe… [+6036 chars]",Business Insider,atecotzky@businessinsider.com (Alice Tecotzky),https://www.businessinsider.com/trump-saudi-arabia-investment-conference-business-tech-leaders-2025-5,2025-05-12T21:09:17Z,en,Trump is headed to Saudi Arabia — and a 'who's who' of US CEOs are right behind him,"As President Donald Trump embarks on the first international trip of his second term, a small crowd of Wall Street and Silicon Valley executives are also jetting off to Saudi Arabia.
On Tuesday, exe… [+6036 chars]","Executives from Google, Nvidia, and BlackRock are slated to speak at the Saudi-US Investment Forum as Trump courts Saudi investments."
